PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,ESRI_OID,x2,y2
00002X Oliver AV S,3363462,MP 2015 999986,04,1/2/2015 9:04:06 AM,7/10/2014 12:00:00 AM,00:00:00,TFMV,Theft From Motr Vehc,07,1/2/2015 9:04:06 AM,17698,44.97608034,-93.30706477,-10386894.938,5617756.6116,BRYN - MAWR,1/3/2015 8:01:50 AM,3/3/2017 1:40:06 PM,46,-10386894.938,5617756.6116
0031XX 23 AV S,3363470,MP 2015 001554,01,1/2/2015 9:40:00 AM,12/24/2014 9:00:00 AM,09:00:00,THEFT,Other Theft,07,1/2/2015 9:41:53 AM,20781,44.94565104,-93.23893067,-10379310.2843,5612969.4083,CORCORAN,1/5/2015 8:07:19 AM,3/3/2017 1:40:06 PM,47,-10379310.2843,5612969.40829999
0005XX 1 AV N,3363475,MP 2015 999985,01,1/2/2015 10:05:00 AM,12/31/2014 11:00:00 PM,23:00:00,THEFT,Other Theft,07,1/2/2015 10:05:04 AM,17104,44.97998625,-93.27428374,-10383245.7696,5618371.2806,DOWNTOWN WEST,1/5/2015 8:14:45 AM,3/3/2017 1:40:06 PM,48,-10383245.7696,5618371.28059999
00001X 26 ST W,3363480,MP 2015 001530,05,1/2/2015 9:15:00 AM,1/2/2015 1:00:00 AM,01:00:00,BURGB,Burglary Of Business,06,1/2/2015 10:15:38 AM,16787,44.95553566,-93.2787551,-10383743.5201,5614524.2,WHITTIER,1/2/2015 1:33:12 PM,3/3/2017 1:40:06 PM,49,-10383743.5201,5614524.2
0027XX Grand ST NE,3363495,MP 2015 001675,02,1/2/2015 11:44:00 AM,12/29/2014 11:00:00 AM,11:00:00,THEFT,Other Theft,07,1/2/2015 11:43:45 AM,11077,45.01770235,-93.27013462,-10382783.8921,5624308.7889,MARSHALL TERRACE,1/7/2015 10:11:10 AM,3/3/2017 1:40:06 PM,50,-10382783.8921,5624308.7889
0006XX Broadway AV W,3363498,MP 2015 001616,04,1/2/2015 10:09:00 AM,1/1/2015 11:35:00 PM,23:35:00,BURGB,Burglary Of Business,06,1/2/2015 11:56:37 AM,22647,44.99913516,-93.28682309,-10384641.6445,5621385.3364,NEAR - NORTH,1/5/2015 7:09:50 AM,3/3/2017 1:40:06 PM,51,-10384641.6445,5621385.33640001
0012XX 26 ST W,3363506,MP 2015 001704,05,1/2/2015 12:10:00 PM,1/2/2015 11:35:00 AM,11:35:00,ASLT2,Asslt W/dngrs Weapon,05,1/2/2015 12:09:24 PM,14826,44.95554228,-93.29505008,-10385557.4683,5614525.2413,LOWRY HILL EAST,1/3/2015 6:47:28 AM,3/3/2017 1:40:06 PM,52,-10385557.4683,5614525.24130001
0034XX Girard AV N,3363507,MP 2015 001720,04,1/2/2015 12:17:00 PM,4/1/2013 12:12:00 PM,12:12:00,THEFT,Other Theft,07,1/2/2015 12:16:37 PM,19934,45.01766506,-93.29685009,-10385757.8446,5624302.9178,FOLWELL,1/6/2015 1:30:15 PM,3/3/2017 1:40:06 PM,53,-10385757.8446,5624302.91780001
0017XX Plymouth AV N,3363510,MP 2015 999980,04,1/2/2015 12:26:09 PM,1/1/2015 2:00:00 AM,02:00:00,THEFT,Other Theft,07,1/2/2015 12:26:09 PM,15844,44.99149848,-93.30257997,-10386395.6922,5620183.1951,WILLARD - HAY,1/5/2015 7:14:13 AM,3/3/2017 1:40:06 PM,54,-10386395.6922,5620183.19510001
0013XX 4 ST SE,3363512,MP 2015 999979,02,1/2/2015 12:34:06 PM,12/31/2014 11:55:00 PM,23:55:00,THEFT,Other Theft,07,1/2/2015 12:34:06 PM,16642,44.98076705,-93.23647339,-10379036.7412,5618494.1593,MARCY HOLMES,1/5/2015 9:36:47 AM,3/3/2017 1:40:06 PM,55,-10379036.7412,5618494.1593
0021XX Como AV SE,3363513,MP 2015 001702,02,1/2/2015 12:30:00 PM,12/31/2014 3:00:00 PM,15:00:00,THEFT,Other Theft,07,1/2/2015 12:36:34 PM,11506,44.9878819,-93.22219734,-10377447.5382,5619613.9411,COMO,4/13/2016 11:45:53 AM,3/3/2017 1:40:06 PM,56,-10377447.5382,5619613.9411
0009XX Nicollet Mall  ,3363515,MP 2015 001738,01,1/2/2015 12:55:00 PM,1/2/2015 12:34:00 PM,12:34:00,SHOPLF,Shoplifting,07,1/2/2015 12:54:22 PM,19563,44.97449942,-93.27431687,-10383249.4581,5617507.8346,DOWNTOWN WEST,1/3/2015 7:02:41 AM,3/3/2017 1:40:06 PM,57,-10383249.4581,5617507.83460001
0027XX 15 AV S,3363517,MP 2015 999978,03,1/2/2015 12:58:16 PM,12/26/2014 5:00:00 PM,17:00:00,TFMV,Theft From Motr Vehc,07,1/2/2015 12:58:16 PM,16879,44.95284173,-93.25373613,-10380958.4207,5614100.4341,MIDTOWN PHILLIPS,1/7/2015 12:02:34 PM,3/3/2017 1:40:06 PM,58,-10380958.4207,5614100.4341
0018XX Glenwood AV ,3363519,MP 2015 001768,04,1/2/2015 1:15:00 PM,12/31/2014 6:45:00 PM,18:45:00,THEFT,Other Theft,07,1/2/2015 1:15:42 PM,15740,44.98080862,-93.30387162,-10386539.4781,5618500.7014,HARRISON,1/3/2015 7:57:56 AM,3/3/2017 1:40:06 PM,59,-10386539.4781,5618500.7014
0008XX Hennepin AV S,3363528,MP 2015 999974,01,1/2/2015 1:40:52 PM,12/29/2014 12:30:00 AM,00:30:00,THEFT,Other Theft,07,1/2/2015 1:40:52 PM,21655,44.9768075,-93.27643103,-10383484.8051,5617871.0411,DOWNTOWN WEST,1/5/2015 8:13:55 AM,3/3/2017 1:40:06 PM,60,-10383484.8051,5617871.04110001
0001XX 26 ST E,3363530,MP 2015 001758,05,1/2/2015 1:45:00 PM,12/31/2014 3:00:00 PM,15:00:00,BURGB,Burglary Of Business,06,1/2/2015 1:45:26 PM,16210,44.95552673,-93.27595486,-10383431.7983,5614522.7953,WHITTIER,1/5/2015 2:38:54 AM,3/3/2017 1:40:06 PM,61,-10383431.7983,5614522.7953
0005XX 14 AV SE,3363532,MP 2015 999972,02,1/2/2015 1:53:19 PM,12/31/2014 11:10:00 PM,23:10:00,THEFT,Other Theft,07,1/2/2015 1:53:19 PM,16638,44.981964,-93.23460561,-10378828.8209,5618682.5341,MARCY HOLMES,1/5/2016 7:17:41 PM,3/3/2017 1:40:06 PM,62,-10378828.8209,5618682.53410001
0001XX 26 ST E,3363538,MP 2015 001777,05,1/2/2015 2:30:00 PM,12/31/2014 2:00:00 PM,14:00:00,BURGB,Burglary Of Business,06,1/2/2015 2:27:08 PM,16210,44.95552673,-93.27595486,-10383431.7983,5614522.7953,WHITTIER,1/5/2015 2:39:49 AM,3/3/2017 1:40:06 PM,63,-10383431.7983,5614522.7953
0018XX Russell AV N,3363539,MP 2015 001787,04,1/2/2015 2:40:00 PM,1/2/2015 11:40:00 AM,11:40:00,BURGD,Burglary Of Dwelling,06,1/2/2015 2:40:42 PM,22660,44.99787774,-93.31077222,-10387307.6495,5621187.3865,WILLARD - HAY,1/2/2015 3:19:45 PM,3/3/2017 1:40:06 PM,64,-10387307.6495,5621187.3865
8 ST SE / 14 AV SE,3363542,MP 2015 999970,02,1/2/2015 2:51:37 PM,1/1/2015 1:30:00 AM,01:30:00,THEFT,Other Theft,07,1/2/2015 2:51:37 PM,,44.98441,-93.23266,-10378612.63,5619067.288,MARCY HOLMES,1/5/2015 9:34:27 AM,3/3/2017 1:40:06 PM,65,-10378612.63,5619067.28800001
0010XX Currie AV W,3363553,MP 2015 999967,01,1/2/2015 3:44:02 PM,12/31/2014 1:00:00 PM,13:00:00,THEFT,Other Theft,07,1/2/2015 3:44:02 PM,25669,44.97802336,-93.29716994,-10385793.4503,5618062.3777,DOWNTOWN WEST,1/5/2015 8:13:48 AM,3/3/2017 1:40:06 PM,66,-10385793.4503,5618062.3777
0023XX Lyndale AV S,3363559,MP 2015 001887,05,1/2/2015 3:34:00 PM,12/12/2014 8:00:00 AM,08:00:00,BURGB,Burglary Of Business,06,1/2/2015 4:10:45 PM,16534,44.96002038,-93.28801715,-10384774.5663,5615229.7083,WHITTIER,1/5/2015 2:41:46 AM,3/3/2017 1:40:06 PM,67,-10384774.5663,5615229.70830001
0008XX Lake ST W,3363562,MP 2015 999966,05,1/2/2015 4:18:00 PM,1/1/2015 11:47:00 AM,11:47:00,SHOPLF,Shoplifting,07,1/2/2015 4:18:26 PM,16079,44.9483642,-93.29001302,-10384996.7456,5613396.1462,CARAG,1/5/2015 3:30:44 AM,3/3/2017 1:40:06 PM,68,-10384996.7456,5613396.1462
0028XX 26 AV S,3363563,MP 2015 999965,03,1/2/2015 4:20:28 PM,1/1/2015 4:30:00 PM,16:30:00,THEFT,Other Theft,07,1/2/2015 4:20:28 PM,19096,44.95108135,-93.2347243,-10378842.0334,5613823.5304,LONGFELLOW,1/3/2015 9:07:15 AM,3/3/2017 1:40:06 PM,69,-10378842.0334,5613823.5304
Nicollet AV S / 24 ST W,3363564,MP 2015 999964,05,1/2/2015 4:28:59 PM,12/31/2014 3:00:00 PM,15:00:00,THEFT,Other Theft,07,1/2/2015 4:28:59 PM,,44.95915,-93.27785,-10383642.27,5615093.431,WHITTIER,1/5/2015 3:31:05 AM,3/3/2017 1:40:06 PM,70,-10383642.27,5615093.43100001
